Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
Category,2-hour Departure Time Interval,Cumulative Number of Vehicles,
,,14:00_16:00,60.00
,,16:00_18:00,164.00
Category,2-hour Departure Time Interval,Total Travel Time (min),
,,14:00_16:00,777.60
,,16:00_18:00,1010.70
Category,2-hour Departure Time Interval,Total Travel Distance (mile),
,,14:00_16:00,90.83
,,16:00_18:00,157.45
Category,2-hour Departure Time Interval,Avg Travel Time (min),
,,14:00_16:00,12.96
,,16:00_18:00, 9.72
Category,2-hour Departure Time Interval,Avg Travel Distance (mile),
,,14:00_16:00, 1.51
,,16:00_18:00, 1.51
Category,2-hour Departure Time Interval,Avg Speed (mile/hour),
,,14:00_16:00, 7.01
,,16:00_18:00, 9.35
Category,2-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,14:00_16:00, 8.56
,,16:00_18:00, 6.42
Category,2-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,14:00_16:00, 5.14
,,16:00_18:00, 3.85
Category,2-hour Departure Time Interval,Avg Travel Time STD (min),
,,14:00_16:00, 8.76
,,16:00_18:00, 7.57
Category,2-hour Departure Time Interval,95th Percentile Travel Time (min),
,,14:00_16:00,26.00
,,16:00_18:00,26.10
Category,2-hour Departure Time Interval,90th Percentile Travel Time (min),
,,14:00_16:00,22.00
,,16:00_18:00,20.10
Category,2-hour Departure Time Interval,80th Percentile Travel Time (min),
,,14:00_16:00,18.00
,,16:00_18:00, 8.00
Category,2-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
